anomes_scoragem,anomesdia_scoragem,datetime_sdoragem,unnamed:_0,age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk,model_score,score_bin
202009,20200914,,0,67,male,2,own,,little,1169,6,radio/TV,good,0.24857384878655173,Faixa 8
202009,20200914,,1,22,female,2,own,little,moderate,5951,48,radio/TV,bad,0.552658195697343,Faixa 2
202009,20200914,,2,49,male,1,own,little,,2096,12,education,good,0.2123949571220218,Faixa 10
202009,20200914,,3,45,male,2,free,little,little,7882,42,furniture/equipment,good,0.5602717153980162,Faixa 2
202009,20200914,,4,53,male,2,free,little,little,4870,24,car,bad,0.5668032139285357,Faixa 2
202009,20200914,,5,35,male,1,free,,,9055,36,education,good,0.26214300454135275,Faixa 8
202009,20200914,,6,53,male,2,own,quite rich,,2835,24,furniture/equipment,good,0.2082161918269297,Faixa 10
202009,20200914,,7,35,male,3,rent,little,moderate,6948,36,car,good,0.4690215351208807,Faixa 3
202009,20200914,,8,61,male,1,own,rich,,3059,12,radio/TV,good,0.18017619953441277,Faixa 10
202009,20200914,,9,28,male,3,own,little,moderate,5234,30,car,bad,0.5486376021280941,Faixa 2
202009,20200914,,10,25,female,2,rent,little,moderate,1295,12,car,bad,0.5807270898813287,Faixa 2
202009,20200914,,11,24,female,2,rent,little,little,4308,48,business,bad,0.6555913364958877,Faixa 1
202009,20200914,,12,22,female,2,own,little,moderate,1567,12,radio/TV,good,0.4218943693367327,Faixa 4
202009,20200914,,13,60,male,1,own,little,little,1199,24,car,bad,0.5974707548074497,Faixa 1
202009,20200914,,14,28,female,2,rent,little,little,1403,15,car,good,0.4458409617930863,Faixa 4
202009,20200914,,15,32,female,1,own,moderate,little,1282,24,radio/TV,bad,0.6369241912134622,Faixa 1
202009,20200914,,16,53,male,2,own,,,2424,24,radio/TV,good,0.2145377134677791,Faixa 10
202009,20200914,,17,25,male,2,own,,little,8072,30,business,good,0.44207463328934654,Faixa 4
202009,20200914,,18,44,female,3,free,little,moderate,12579,24,car,bad,0.6436357261752583,Faixa 1
202009,20200914,,19,31,male,2,own,quite rich,,3430,24,radio/TV,good,0.22888048459874555,Faixa 9
202009,20200914,,20,48,male,2,own,little,,2134,9,car,good,0.17955006702204063,Faixa 10
202009,20200914,,21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good,0.2904657889986258,Faixa 7
202009,20200914,,22,48,male,1,rent,little,little,2241,10,car,good,0.3025708197807049,Faixa 7
202009,20200914,,23,44,male,2,own,moderate,moderate,1804,12,car,good,0.3392965659032704,Faixa 6
202009,20200914,,24,26,male,2,own,,,2069,10,furniture/equipment,good,0.22328756343152373,Faixa 9
202009,20200914,,25,36,male,1,own,little,little,1374,6,furniture/equipment,good,0.25496718144876745,Faixa 8
202009,20200914,,26,39,male,1,own,little,,426,6,radio/TV,good,0.19577279829299407,Faixa 10
202009,20200914,,27,42,female,2,rent,rich,rich,409,12,radio/TV,good,0.3195762636511547,Faixa 6
202009,20200914,,28,34,male,2,own,little,moderate,2415,7,radio/TV,good,0.252250435533605,Faixa 8
202009,20200914,,29,63,male,2,own,little,little,6836,60,business,bad,0.5617644930976428,Faixa 2
202009,20200914,,30,36,male,2,own,rich,moderate,1913,18,business,good,0.34399710715172954,Faixa 6
202009,20200914,,31,27,male,2,own,little,little,4020,24,furniture/equipment,good,0.5044229810442551,Faixa 3
202009,20200914,,32,30,male,2,own,moderate,moderate,5866,18,car,good,0.33345818916936015,Faixa 6
202009,20200914,,33,57,male,1,rent,,,1264,12,business,good,0.23403048191589915,Faixa 9
202009,20200914,,34,33,female,3,own,little,rich,1474,12,furniture/equipment,good,0.3829542740801213,Faixa 5
202009,20200914,,35,25,male,1,own,little,moderate,4746,45,radio/TV,bad,0.6520748154835198,Faixa 1
202009,20200914,,36,31,male,2,free,little,,6110,48,education,good,0.2996959503808222,Faixa 7
202009,20200914,,37,37,male,2,own,little,rich,2100,18,radio/TV,bad,0.41282551879989493,Faixa 4
202009,20200914,,38,37,male,2,own,little,rich,1225,10,domestic appliances,good,0.31572170083767975,Faixa 6
202009,20200914,,39,24,male,2,own,little,moderate,458,9,radio/TV,good,0.38265944063332386,Faixa 5
202009,20200914,,40,30,male,3,own,quite rich,,2333,30,radio/TV,good,0.2406403141991678,Faixa 9
